DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 22go0107_0.079969_051c010u_-0.079969.wav	 1.487	 0.000	 0	 8000	1.1960
 22go0107_0.079969_051c010u_-0.079969.wav	 1.258	 0.000	 0	 8000	4.6600
 22go0107_0.079969_051c010u_-0.079969.wav	 1.508	 0.000	 0	 8000	5.1920
 22go0107_0.079969_051c010u_-0.079969.wav	 2.112	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 1.809	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 2.112	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 1.809	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 2.112	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 1.809	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 2.112	 0.000	 0	 8000	0.0000
 22go0107_0.079969_051c010u_-0.079969.wav	 1.809	 0.000	 0	 8000	0.0000
 444o0314_2.1819_053o020e_-2.1819.wav	 1.524	 0.000	 0	 8000	7.0520
 444o0314_2.1819_053o020e_-2.1819.wav	 1.303	 0.000	 0	 8000	2.6080
 444o0314_2.1819_053o020e_-2.1819.wav	 2.457	 0.000	 0	 8000	9.7840
 444o0314_2.1819_053o020e_-2.1819.wav	 1.930	 0.000	 0	 8000	8.9800
 444o0314_2.1819_053o020e_-2.1819.wav	 1.968	 0.000	 0	 8000	0.0000
 444o0314_2.1819_053o020e_-2.1819.wav	 2.119	 0.000	 0	 8000	0.0000
 444o0314_2.1819_053o020e_-2.1819.wav	 1.968	 0.000	 0	 8000	0.0000
 444o0314_2.1819_053o020e_-2.1819.wav	 2.119	 0.000	 0	 8000	0.0000
