REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/420c020h_1.1139_442c0203_-1.1139.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/420c020h_1.1139_442c0203_-1.1139.wav	 SQValue=2.400	 2.400	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/420c020h_1.1139_442c0203_-1.1139.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/420c020h_1.1139_442c0203_-1.1139.wav	 SQValue=1.534	 1.534	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen_halvetrainset/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.242	 1.242	 0.000	 0	 8000	3.9880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen_halvetrainset/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.395	 1.395	 0.000	 0	 8000	2.1880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen_halvetrainset/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.380	 1.380	 0.000	 0	 8000	8.0840
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen_halvetrainset/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.315	 1.315	 0.000	 0	 8000	8.4680
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.822	 1.822	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=2.191	 2.191	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.822	 1.822	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=2.191	 2.191	 0.000	 0	 8000	0.0000
